scenario,median_time_ms,p95_time_ms,p99_time_ms
"sac,TX=6400,T=1",753.6974384999994,840.5127655499996,870.2189076300066
"sac,TX=6400,T=8",612.4365544999991,677.5092003499957,699.3635484699988
"custom_token,TX=3000,T=1",573.5961089999996,629.8321298999923,656.08650911
"custom_token,TX=3000,T=8",429.82848199999717,482.732872999995,530.7019804700047
"soroswap,TX=1600,T=1",698.5367705000012,790.5503531499955,861.7794679599994
"soroswap,TX=1600,T=8",400.98717999999644,457.76406309999965,489.4852547699985
